date,New_ILI
2009-05-01,2.352941176
2009-05-02,2.352941176
2009-05-03,1.176470588
2009-05-04,2.352941176
2009-05-05,3.529411765
2009-05-06,1.176470588
2009-05-07,7.058823529
2009-05-08,5.882352941
2009-05-09,11.76470588
2009-05-10,11.76470588
2009-05-11,14.11764706
2009-05-12,11.76470588
2009-05-13,8.235294118
2009-05-14,8.235294118
2009-05-15,7.058823529
2009-05-16,3.529411765
2009-05-17,1.176470588
2009-05-18,1.176470588
2009-05-19,0
2009-05-20,2.352941176
2009-05-21,0
2009-05-22,0
2009-05-23,0
2009-05-24,0
2009-05-25,0
2009-05-26,0
2009-05-27,2.352941176
2009-05-28,0
2009-05-29,0
2009-05-30,0
2009-05-31,0
2009-06-01,0
2009-06-02,0
